[14/Jul/2021:12:11:21 +0000] - 200 200 - POST http bapuhome.net "/wp-cron.php?doing_wp_cron=1626264681.6509790420532226562500" [Client 192.168.88.4] [Length 31] [Gzip 0.00] [Sent-to 192.168.88.4] "WordPress/5.7.2; http://bapuhome.net" "http://bapuhome.net/wp-cron.php?doing_wp_cron=1626264681.6509790420532226562500"
[15/Jul/2021:02:59:30 +0000] - 200 200 - GET http bapuhome.net "/wp-includes/js/jquery/jquery.min.js?ver=3.5.1" [Client 192.168.88.20] [Length 89496] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:31 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/css/blocks.css?ver=20190105" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:31 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/js/skip-link-focus-fix.js?ver=20161114" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:31 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/js/global.js?ver=20190121" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:31 +0000] - 200 200 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/images/header.jpg" [Client 192.168.88.20] [Length 114854] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:31 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/js/jquery.scrollTo.js?ver=2.1.2" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:32 +0000] - 200 200 - GET http bapuhome.net "/wp-json/wp/v2/types/post?context=edit" [Client 192.168.88.4] [Length 368] [Gzip -] [Sent-to 192.168.88.4] "WordPress/5.7.2; http://bapuhome.net" "http://bapuhome.net/wp-json/wp/v2/types/post?context=edit"
[15/Jul/2021:02:59:35 +0000] - 200 200 - POST http bapuhome.net "/wp-cron.php" [Client 192.168.88.4] [Length 31] [Gzip 0.00] [Sent-to 192.168.88.4] "WordPress/5.7.2; http://bapuhome.net" "http://bapuhome.net/wp-cron.php"
[18/Jul/2021:20:34:40 +0000] - 502 502 - GET http bapuhome.net "/" [Client 192.168.88.20] [Length 556] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[18/Jul/2021:20:34:41 +0000] - 502 502 - GET http bapuhome.net "/favicon.ico" [Client 192.168.88.20] [Length 556] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://bapuhome.net/"
[18/Jul/2021:20:34:43 +0000] - 502 502 - GET http bapuhome.net "/" [Client 192.168.88.20] [Length 556] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[18/Jul/2021:20:34:43 +0000] - 502 502 - GET http bapuhome.net "/favicon.ico" [Client 192.168.88.20] [Length 556] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://bapuhome.net/"
