[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "-"
[14/Jul/2021:12:27:42 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:56:22 +0000] - 200 200 - GET http nui.bapuhome.net "/api/config/nginx.conf" [Client 192.168.88.20] [Length 1304] [Gzip 2.64] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:12 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:12 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:14 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domain/bapuhome.net" [Client 192.168.88.20] [Length 685] [Gzip 2.72] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:23 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:23 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:28 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domain/myipam.bapuhome.net" [Client 192.168.88.20] [Length 759] [Gzip 2.77] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:30 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:30 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[19/Jul/2021:06:48:50 +0000] - 302 302 - GET http emby.bapuhome.net "/" [Client 192.168.88.20] [Length 5] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[19/Jul/2021:06:48:50 +0000] - 200 200 - GET http emby.bapuhome.net "/web/index.html" [Client 192.168.88.20] [Length 1192] [Gzip 2.75] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[19/Jul/2021:06:48:50 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/fonts/material-icons/LDItaoyNOAY6Uewc665JcIzCKsKc_M9flwmP_1.woff2" [Client 192.168.88.20] [Length 107316] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 200 200 - GET http emby.bapuhome.net "/Branding/Css.css?v=4.6.4.0" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 200 200 - GET http emby.bapuhome.net "/emby/system/info/public" [Client 192.168.88.20] [Length 97] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 200 200 - GET http emby.bapuhome.net "/emby/System/Info" [Client 192.168.88.20] [Length 509] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 200 200 - GET http emby.bapuhome.net "/DisplayPreferences/usersettings?userId=9d78af5e75764a4ea248fdc8d36ff862&client=emby&X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 829] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 204 204 - POST http emby.bapuhome.net "/Sessions/Capabilities/Full?X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 200 200 - GET http emby.bapuhome.net "/Users/9d78af5e75764a4ea248fdc8d36ff862?X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 865] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:51 +0000] - 200 200 - GET http emby.bapuhome.net "/Users/9d78af5e75764a4ea248fdc8d36ff862/Views?X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 721] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/LiveTv/Channels?userId=9d78af5e75764a4ea248fdc8d36ff862&limit=1&ImageTypeLimit=1&EnableTotalRecordCount=false&EnableImages=false&EnableUserData=false&X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 33] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Users/9d78af5e75764a4ea248fdc8d36ff862/Items/Latest?Limit=16&Fields=PrimaryImageAspectRatio%2CBasicSyncInfo%2CProductionYear%2CStatus%2CEndDate%2CCanDelete&ImageTypeLimit=1&EnableImageTypes=Primary%2CBackdrop%2CThumb&ParentId=f137a2dd21bbc1b99aa5c0f6bf02a805&X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 1192] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Users/9d78af5e75764a4ea248fdc8d36ff862/Items/Resume?Recursive=true&Fields=PrimaryImageAspectRatio%2CBasicSyncInfo%2CProductionYear%2CCanDelete&ImageTypeLimit=1&EnableImageTypes=Primary%2CBackdrop%2CThumb&MediaTypes=Video&Limit=12&X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 827] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Users/9d78af5e75764a4ea248fdc8d36ff862/Items/Resume?Recursive=true&Fields=PrimaryImageAspectRatio%2CBasicSyncInfo%2CProductionYear%2CCanDelete&ImageTypeLimit=1&EnableImageTypes=Primary%2CBackdrop%2CThumb&MediaTypes=Audio&Limit=12&X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 33] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Users/9d78af5e75764a4ea248fdc8d36ff862/Items/Latest?Limit=16&Fields=PrimaryImageAspectRatio%2CBasicSyncInfo%2CProductionYear%2CStatus%2CEndDate%2CCanDelete&ImageTypeLimit=1&EnableImageTypes=Primary%2CBackdrop%2CThumb&ParentId=09c481f9364b42183be0710ad2cdc4e1&X-Emby-Client=Emby%20Web&X-Emby-Device-Name=Chrome&X-Emby-Device-Id=9590fae0-9efd-4cde-8088-0bbcdcd71f9c&X-Emby-Client-Version=4.6.4.0&X-Emby-Token=77d287ac036d4f0aaa03521a2361000f" [Client 192.168.88.20] [Length 1874] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/9d7ad6afe9afa2dab1a2f6e00ad28fa6/Images/Primary?maxHeight=155&maxWidth=275&tag=b23f7066ec32d8e9fe3c59e91065530c&quality=90" [Client 192.168.88.20] [Length 61269] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/f137a2dd21bbc1b99aa5c0f6bf02a805/Images/Primary?maxHeight=155&maxWidth=275&tag=57ce07072729a9bfdeb3f16069464d3a&quality=90" [Client 192.168.88.20] [Length 74637] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:52 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/09c481f9364b42183be0710ad2cdc4e1/Images/Primary?maxHeight=155&maxWidth=275&tag=c08bc9d581de47280c157342f3605838&quality=90" [Client 192.168.88.20] [Length 85206] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/29856/Images/Primary?maxHeight=324&maxWidth=216&tag=007504b601954cd0093822cff57944a7&quality=90" [Client 192.168.88.20] [Length 13212] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/29654/Images/Primary?maxHeight=324&maxWidth=216&tag=712b947bdc45a800c2fdf537d9a06ab3&quality=90" [Client 192.168.88.20] [Length 12680] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/30013/Images/Primary?maxHeight=324&maxWidth=216&tag=89d901fa864befc613eb35d00f889472&quality=90" [Client 192.168.88.20] [Length 19306] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/22332/Images/Primary?maxHeight=324&maxWidth=216&tag=581d04d96632321d0e1d1333b371ef3f&quality=90" [Client 192.168.88.20] [Length 16306] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/29992/Images/Primary?maxHeight=324&maxWidth=216&tag=bbdedb6b25dc395614fcf74ff7b72e03&quality=90" [Client 192.168.88.20] [Length 21224] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/18441/Images/Primary?maxHeight=324&maxWidth=216&tag=272174f97dd3b74c6128664139c59fda&quality=90" [Client 192.168.88.20] [Length 20464] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/18483/Images/Primary?maxHeight=324&maxWidth=216&tag=3782cf79564960f71d9dd5a3da789dfb&quality=90" [Client 192.168.88.20] [Length 21374] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/22331/Images/Primary?maxHeight=324&maxWidth=216&tag=c4396dc80f91fb51c1e111f681643194&quality=90" [Client 192.168.88.20] [Length 20834] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/18438/Images/Primary?maxHeight=324&maxWidth=216&tag=b41973bf91a36ab1a09ec7f9e760bdcd&quality=90" [Client 192.168.88.20] [Length 24234] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/18440/Images/Primary?maxHeight=324&maxWidth=216&tag=1f4beb37215ebb68a301359d6c6e2ff3&quality=90" [Client 192.168.88.20] [Length 21366] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[19/Jul/2021:06:48:53 +0000] - 200 200 - GET http emby.bapuhome.net "/Items/18487/Images/Thumb?maxWidth=373&tag=8850b241e5cad04c19e22d70610e7c02&quality=90" [Client 192.168.88.20] [Length 37080] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
