[11/Jul/2021:09:51:00 +0000] - 302 302 - GET http emby.bapuhome.net "/" [Client 192.168.88.20] [Length 5] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://192.168.88.4:81/"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/bower_components/emby-apiclient/apiclient.js?v=4.6.4.0" [Client 192.168.88.20] [Length 79742] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/usersettings/usersettingsbuilder.js?v=4.6.4.0" [Client 192.168.88.20] [Length 8090] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/globalize.js?v=4.6.4.0" [Client 192.168.88.20] [Length 3724] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/strings/en-US.json?v=4.6.4.0" [Client 192.168.88.20] [Length 55006] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/strings/en-US.json?v=4.6.4.0" [Client 192.168.88.20] [Length 70565] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/favicon.ico" [Client 192.168.88.20] [Length 49334] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/bower_components/modernizr/modernizr.min.js?v=4.6.4.0" [Client 192.168.88.20] [Length 6263] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/require/requirecss.js?v=4.6.4.0" [Client 192.168.88.20] [Length 907] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/flexstyles.css?v=4.6.4.0" [Client 192.168.88.20] [Length 1387] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/layout.css?v=4.6.4.0" [Client 192.168.88.20] [Length 5667] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/sections.css?v=4.6.4.0" [Client 192.168.88.20] [Length 2445] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/fonts/fonts.css?v=4.6.4.0" [Client 192.168.88.20] [Length 6216] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/shell.js?v=4.6.4.0" [Client 192.168.88.20] [Length 269] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/pluginmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 4929] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/playback/playaccessvalidation.js?v=4.6.4.0" [Client 192.168.88.20] [Length 763] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/playback/playbackvalidation.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1150] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/router.js?v=4.6.4.0" [Client 192.168.88.20] [Length 23016] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/playback/playqueueconfirmation.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1611] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:01 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/playback/experimentalwarnings.js?v=4.6.4.0" [Client 192.168.88.20] [Length 2092] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/soundeffects/defaultsoundeffects/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 292] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/backdropscreensaver/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1073] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/htmlaudioplayer/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 5745] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/photoscreensaver/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 993] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/logoscreensaver/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 4508] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/youtubeplayer/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 6640] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/sessionplayer.js?v=4.6.4.0" [Client 192.168.88.20] [Length 13131] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/chromecast/chromecastplayer.js?v=4.6.4.0" [Client 192.168.88.20] [Length 19992] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/htmlvideoplayer/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 30201] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/photoplayer/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1632] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/confirmstillplaying/plugin.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1445] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/itemhelper.js?v=4.6.4.0" [Client 192.168.88.20] [Length 11519] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/skinmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 6700] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/playback/playbackmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 79028] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/viewmanager/viewmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 7338] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/loading/loading-lite.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1621] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/backdrop/backdrop.js?v=4.6.4.0" [Client 192.168.88.20] [Length 6429] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/pagejs/page.js?v=4.6.4.0" [Client 192.168.88.20] [Length 4185] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/dialog/dialog.js?v=4.6.4.0" [Client 192.168.88.20] [Length 3218] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/layoutmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 2443] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/htmlvideoplayer/basehtmlplayer.js?v=4.6.4.0" [Client 192.168.88.20] [Length 9329] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/inputmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 3857] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/datetime.js?v=4.6.4.0" [Client 192.168.88.20] [Length 3763] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/dom.js?v=4.6.4.0" [Client 192.168.88.20] [Length 3047] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/fullscreen/fullscreenmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1484] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/loading/loading-lite.css?v=4.6.4.0" [Client 192.168.88.20] [Length 6283] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[11/Jul/2021:09:51:02 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/common/input/api.js?v=4.6.4.0" [Client 192.168.88.20] [Length 5810] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
